vec_len,category,dist_fn,top_n,n,min,max,mean,std,med
150,monetary_unk_point,cosine,1,79,0.07041,0.29943,0.11850,0.04780,0.09155
150,monetary_unk_point,euclidean,1,79,16.52271,30.78961,24.06249,2.17788,23.72762
150,monetary_unk_point,cosine,5,79,0.07041,0.30196,0.12818,0.04815,0.11487
150,monetary_unk_point,euclidean,5,79,16.52271,31.16087,24.41307,2.20745,24.55606
150,nonmonetary_duration,cosine,10,18150,0.00057,0.48544,0.05945,0.04421,0.04729
150,nonmonetary_duration,euclidean,10,18150,2.00000,61.88699,16.55296,4.47944,15.87451
150,nonmonetary_duration,cosine,1,18150,0.00057,0.48024,0.05527,0.04204,0.04392
150,nonmonetary_duration,euclidean,1,18150,2.00000,57.54129,15.30062,4.38349,14.62874
150,nonmonetary_duration,cosine,5,18150,0.00057,0.48457,0.05684,0.04326,0.04508
150,nonmonetary_duration,euclidean,5,18150,2.00000,60.95080,15.78024,4.41790,15.09967
150,nonmonetary_point,cosine,10,3476,0.00030,0.31525,0.05942,0.03205,0.05394
150,nonmonetary_point,euclidean,10,3476,2.64575,199.94249,16.27410,5.78315,15.26434
150,nonmonetary_point,cosine,1,3476,0.00030,0.27926,0.05215,0.02976,0.04655
150,nonmonetary_point,euclidean,1,3476,2.64575,78.66384,14.18079,4.74514,13.34166
150,nonmonetary_point,cosine,5,3476,0.00030,0.28072,0.05522,0.03054,0.04987
150,nonmonetary_point,euclidean,5,3476,2.64575,97.64732,15.08862,5.15190,14.30034
200,abstract,cosine,10,35978,0.00000,0.57718,0.09180,0.04790,0.08218
200,abstract,euclidean,10,35978,0.00000,81.34495,14.07757,4.83614,13.13316
200,abstract,cosine,1,35978,0.00000,0.43650,0.07278,0.04260,0.06327
200,abstract,euclidean,1,35978,0.00000,59.48109,12.21128,4.52169,11.40175
200,abstract,cosine,5,35978,0.00000,0.55669,0.08482,0.04571,0.07500
200,abstract,euclidean,5,35978,0.00000,71.71471,13.40952,4.69142,12.49000
